"Story","Title","Result","Date","Stability","Duration (s)"
"Navigating to Myaccount login","User navigating to myaccount login page","SUCCESS","2021-05-06T12:09:21.6191849+02:00[Europe/Amsterdam]","0.0","8.72"
"Registration after providing registration details","User completing the registration process","SUCCESS","2021-05-06T12:09:31.1065221+02:00[Europe/Amsterdam]","0.0","12.57"
