"Story","Title","Result","Date","Stability","Duration (s)"
"Navigating to Myaccount login","User navigating to myaccount login page","SUCCESS","2021-05-05T21:53:20.1206175+02:00[Europe/Amsterdam]","0.0","10.63"
"Registration after providing registration details","User completing the registration process","SUCCESS","2021-05-05T21:53:32.4505121+02:00[Europe/Amsterdam]","0.0","13.88"
